N,T,pk,pm,fx
30,50,0.5,0.001,1.7325000000000006
35,50,0.5,0.001,1.7996100000000004
40,50,0.5,0.001,1.7860400000000005
45,50,0.5,0.001,1.8682600000000003
50,50,0.5,0.001,1.8548300000000004
55,50,0.5,0.001,1.8578700000000001
60,50,0.5,0.001,1.8723000000000007
65,50,0.5,0.001,1.8817600000000005
70,50,0.5,0.001,1.9137799999999998
75,50,0.5,0.001,1.8962999999999997
80,50,0.5,0.001,1.9078200000000003
30,50,0.55,0.001,1.7365899999999996
35,50,0.55,0.001,1.79381
40,50,0.55,0.001,1.82848
45,50,0.55,0.001,1.8155399999999997
50,50,0.55,0.001,1.8668199999999997
55,50,0.55,0.001,1.87038
60,50,0.55,0.001,1.8859200000000005
65,50,0.55,0.001,1.89497
70,50,0.55,0.001,1.9250200000000004
75,50,0.55,0.001,1.91708
80,50,0.55,0.001,1.9348999999999998
30,50,0.6,0.001,1.7612899999999998
35,50,0.6,0.001,1.8130099999999998
40,50,0.6,0.001,1.81761
45,50,0.6,0.001,1.8248699999999998
50,50,0.6,0.001,1.8659100000000004
55,50,0.6,0.001,1.9114499999999994
60,50,0.6,0.001,1.8964600000000003
65,50,0.6,0.001,1.9097
70,50,0.6,0.001,1.92524
75,50,0.6,0.001,1.93125
80,50,0.6,0.001,1.9574599999999998
30,50,0.65,0.001,1.7992000000000001
35,50,0.65,0.001,1.78599
40,50,0.65,0.001,1.8359499999999997
45,50,0.65,0.001,1.8628900000000004
50,50,0.65,0.001,1.8511100000000003
55,50,0.65,0.001,1.8874600000000006
60,50,0.65,0.001,1.88611
65,50,0.65,0.001,1.9228899999999995
70,50,0.65,0.001,1.9164099999999993
75,50,0.65,0.001,1.9393300000000004
80,50,0.65,0.001,1.9319
30,50,0.7,0.001,1.7581
35,50,0.7,0.001,1.8050600000000003
40,50,0.7,0.001,1.8544300000000007
45,50,0.7,0.001,1.8512199999999999
50,50,0.7,0.001,1.8734899999999999
55,50,0.7,0.001,1.916490000000001
60,50,0.7,0.001,1.9342700000000008
65,50,0.7,0.001,1.91323
70,50,0.7,0.001,1.9048899999999998
75,50,0.7,0.001,1.9088099999999995
80,50,0.7,0.001,1.9417300000000004
30,50,0.75,0.001,1.7534199999999998
35,50,0.75,0.001,1.8247600000000004
40,50,0.75,0.001,1.8740100000000002
45,50,0.75,0.001,1.8294500000000005
50,50,0.75,0.001,1.8817499999999998
55,50,0.75,0.001,1.8981100000000006
60,50,0.75,0.001,1.9099099999999993
65,50,0.75,0.001,1.9140900000000005
70,50,0.75,0.001,1.9303
75,50,0.75,0.001,1.94668
80,50,0.75,0.001,1.9551100000000003
30,50,0.8,0.001,1.7875599999999998
35,50,0.8,0.001,1.80014
40,50,0.8,0.001,1.8387600000000008
45,50,0.8,0.001,1.89893
50,50,0.8,0.001,1.8794499999999994
55,50,0.8,0.001,1.90174
60,50,0.8,0.001,1.9295100000000005
65,50,0.8,0.001,1.9155700000000002
70,50,0.8,0.001,1.9441900000000008
75,50,0.8,0.001,1.9336700000000004
80,50,0.8,0.001,1.9467500000000002
30,50,0.85,0.001,1.76452
35,50,0.85,0.001,1.8319000000000007
40,50,0.85,0.001,1.8602200000000004
45,50,0.85,0.001,1.8545699999999998
50,50,0.85,0.001,1.8822000000000003
55,50,0.85,0.001,1.9095199999999997
60,50,0.85,0.001,1.9377900000000003
65,50,0.85,0.001,1.93899
70,50,0.85,0.001,1.9301300000000003
75,50,0.85,0.001,1.9363299999999994
80,50,0.85,0.001,1.9487899999999998
30,50,0.9,0.001,1.7863900000000006
35,50,0.9,0.001,1.8365600000000006
40,50,0.9,0.001,1.8504600000000004
45,50,0.9,0.001,1.8851000000000004
50,50,0.9,0.001,1.9100799999999998
55,50,0.9,0.001,1.91687
60,50,0.9,0.001,1.91544
65,50,0.9,0.001,1.9269700000000003
70,50,0.9,0.001,1.9430700000000005
75,50,0.9,0.001,1.94666
80,50,0.9,0.001,1.9454099999999999
30,50,0.5,0.005,1.7636400000000005
35,50,0.5,0.005,1.8034800000000006
40,50,0.5,0.005,1.8511900000000006
45,50,0.5,0.005,1.8897799999999996
50,50,0.5,0.005,1.90104
55,50,0.5,0.005,1.9298100000000002
60,50,0.5,0.005,1.9170100000000003
65,50,0.5,0.005,1.9051600000000004
70,50,0.5,0.005,1.946879999999999
75,50,0.5,0.005,1.9437700000000007
80,50,0.5,0.005,1.9494200000000002
30,50,0.55,0.005,1.8018399999999997
35,50,0.55,0.005,1.83258
40,50,0.55,0.005,1.8584300000000002
45,50,0.55,0.005,1.8708400000000005
50,50,0.55,0.005,1.9233699999999998
55,50,0.55,0.005,1.8993300000000002
60,50,0.55,0.005,1.9156199999999999
65,50,0.55,0.005,1.9376399999999996
70,50,0.55,0.005,1.9210499999999997
75,50,0.55,0.005,1.9463799999999998
80,50,0.55,0.005,1.95204
30,50,0.6,0.005,1.815870000000001
35,50,0.6,0.005,1.8437199999999994
40,50,0.6,0.005,1.8488900000000001
45,50,0.6,0.005,1.8777799999999996
50,50,0.6,0.005,1.9216799999999998
55,50,0.6,0.005,1.9275200000000003
60,50,0.6,0.005,1.9301299999999997
65,50,0.6,0.005,1.9334500000000006
70,50,0.6,0.005,1.9412000000000007
75,50,0.6,0.005,1.9401899999999994
